URL,Outlinks
https://news.yahoo.co.jp/articles/b216d226d0e61aebf2ed01e2e2e743e3a70da501,64
https://news.yahoo.co.jp/articles/2261f7b0df64bffa1cf40dd9f35edcd4e1462eae,61
https://btoptout.yahoo.co.jp/optout/index.html,10
https://furusato.yahoo.co.jp,4
https://shopping.yahoo.co.jp,1043
https://store.shopping.yahoo.co.jp/super-sports/srw.html?sc_i=shopping-pc-web-top--pm_mod-itm_2,52
https://shopping.yahoo.co.jp/category/48687/recommend,169
https://shopping.yahoo.co.jp/searchranking/?rbrandid=3188&p=DHC&sc_i=shopping-pc-web-top--ofcl_str-strlist,405
https://store.shopping.yahoo.co.jp/joshin-cddvd/4595057251155.html?sc_i=shopping-pc-web-top--bzlist-item,48
https://store.shopping.yahoo.co.jp/plumterracenet/brksndr-500.html?sc_i=shopping-pc-web-top--alrnk-item1,54
https://shopping.yahoo.co.jp/category/1729/recommend,432
https://shopping.yahoo.co.jp/category/48111/recommend,154
https://store.shopping.yahoo.co.jp/ohsho/s-1283-grm-mrm.html?sc_i=shopping-pc-web-top--bonussel-item,52
https://store.shopping.yahoo.co.jp/yshopping-giftcard/1000.html?sc_i=shopping-pc-web-top--alrnk-item4,52
https://store.shopping.yahoo.co.jp/y-furusato/3123402.html,40
https://shopping.yahoo.co.jp/category/45230/recommend,216
https://shopping.yahoo.co.jp/category/1919/recommend,263
https://shopping.yahoo.co.jp/category/49617/recommend,94
https://store.shopping.yahoo.co.jp/enya2525/gf-pd916016.html?sc_i=shopping-pc-web-top--pm_mod-itm_2,52
https://shopping.yahoo.co.jp/categoryranking/2499/list?sc_i=shopping-pc-web-top--carkt2-more,397
